# Annealed silica n-k data (2.222 - 99.9 um)
#
# Annealed silica optical constants that Rens Waters derived 
# from the published transmission spectra in Fabian et al. (2000). 
# Rens got these data from Cornelia Jaeger. These are from the 5 hour annealed sample. 
#
# First line is N_lam and rho [g/cm^3], other lines are: lambda[um] n k
44000 2.21
2.227171492204918 1.297575475949837 0.0401869599413144
2.227221096238242 1.2977027096332536 0.04018205650632521
2.227270702481198 1.297828198504776 0.04017715307133602
2.227320310933934 1.297952088326245 0.04017224963634683
2.2273699215965976 1.2980745491869854 0.04016734620135764
2.227419534469336 1.2981959257991673 0.04016244276636845
2.227469149552298 1.2983158325669257 0.04015588849198416
2.22751876684563 1.2984335442641177 0.04014865006492397
2.2275683863494806 1.2985491108921658 0.04014141163786378
2.2276180080639967 1.298662719231562 0.04013417321080358
2.227667631989327 1.2987744208247851 0.040126934783743386
2.227717258125619 1.2988842042270374 0.040119696356683186
2.22776688647302 1.2989919966514136 0.040112457929622994
2.2278165170316777 1.2990976271113448 0.040105219502562794
2.2278661498017405 1.299200681525041 0.0400979810755026
